Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2018-05-13 02:00:00,BTCUSD,8384.7,8447.8,8350.01,8432.41,16.05,134499.44
2018-05-13 01:00:00,BTCUSD,8412.2,8484.2,8350.0,8384.7,31.59,264635.96
2018-05-13 00:00:00,BTCUSD,8472.8,8515.7,8412.0,8412.2,33.93,287372.18
2018-05-12 23:00:00,BTCUSD,8459.0,8566.87,8412.0,8472.8,54.67,464215.9
2018-05-12 22:00:00,BTCUSD,8375.81,8500.0,8350.88,8459.0,39.59,333384.43
2018-05-12 21:00:00,BTCUSD,8440.49,8440.49,8350.88,8375.81,62.59,524355.2
2018-05-12 20:00:00,BTCUSD,8499.0,8520.0,8416.0,8440.49,42.56,361291.41
2018-05-12 19:00:00,BTCUSD,8340.0,8500.0,8320.0,8499.0,52.1,439385.68
2018-05-12 18:00:00,BTCUSD,8410.1,8597.88,8282.31,8340.0,83.65,703404.17
2018-05-12 17:00:00,BTCUSD,8270.0,8410.1,8251.0,8410.1,89.18,741701.29
2018-05-12 16:00:00,BTCUSD,8318.78,8398.3,8250.0,8270.0,103.07,857102.05
2018-05-12 15:00:00,BTCUSD,8482.1,8500.0,8293.82,8318.78,119.18,997251.09
2018-05-12 14:00:00,BTCUSD,8535.2,8543.27,8457.68,8482.1,60.23,511758.28
2018-05-12 13:00:00,BTCUSD,8640.0,8649.33,8530.0,8535.2,75.5,648336.73
2018-05-12 12:00:00,BTCUSD,8530.0,8647.97,8530.0,8640.0,112.11,964173.59
2018-05-12 11:00:00,BTCUSD,8570.66,8617.9,8490.0,8530.0,95.28,814169.72
2018-05-12 10:00:00,BTCUSD,8535.0,8590.31,8452.02,8570.66,180.44,1537196.43
2018-05-12 09:00:00,BTCUSD,8205.0,8545.86,8201.0,8535.0,152.99,1288131.32
2018-05-12 08:00:00,BTCUSD,8360.99,8360.99,8205.0,8205.0,130.0,1073887.42
2018-05-12 07:00:00,BTCUSD,8280.9,8361.0,8204.35,8360.99,90.49,750896.63
2018-05-12 06:00:00,BTCUSD,8318.67,8350.0,8177.0,8280.9,428.13,3533854.95
2018-05-12 05:00:00,BTCUSD,8361.88,8402.0,8275.0,8318.67,433.77,3607324.88
2018-05-12 04:00:00,BTCUSD,8400.0,8453.73,8361.88,8361.88,37.64,316280.77
2018-05-12 03:00:00,BTCUSD,8422.0,8463.73,8361.88,8400.0,64.84,545038.46
2018-05-12 02:00:00,BTCUSD,8466.0,8491.49,8409.0,8422.0,45.76,387218.34
2018-05-12 01:00:00,BTCUSD,8456.54,8491.42,8394.0,8466.0,61.2,515574.47
2018-05-12 00:00:00,BTCUSD,8390.0,8484.73,8390.0,8456.54,54.24,457735.61
2018-05-11 23:00:00,BTCUSD,8440.13,8488.22,8362.32,8390.0,88.64,748350.49
2018-05-11 22:00:00,BTCUSD,8381.2,8488.22,8381.2,8440.13,146.88,1239935.98
2018-05-11 21:00:00,BTCUSD,8420.0,8439.0,8353.0,8381.2,139.74,1172425.98
2018-05-11 20:00:00,BTCUSD,8592.0,8653.75,8380.0,8420.0,173.9,1474275.68
2018-05-11 19:00:00,BTCUSD,8631.81,8691.34,8587.9,8592.0,56.32,487153.62
2018-05-11 18:00:00,BTCUSD,8581.0,8654.34,8555.0,8631.81,52.9,453964.39
2018-05-11 17:00:00,BTCUSD,8657.0,8676.2,8552.1,8581.0,59.88,516701.45
